# freq,Re(Z),Im(Z)
1.995261000000000138e+02,2.007350945926836619e-03,-5.584532119219854816e-05
1.584892000000000110e+02,2.014227795241094274e-03,-6.252832375870076543e-05
1.258924999999999983e+02,2.021927577910000422e-03,-7.001106257533004033e-05
9.999993999999999517e+01,2.030548818059375524e-03,-7.838928453660129589e-05
7.943277000000000498e+01,2.040201752935929484e-03,-8.777011948358676998e-05
6.309568999999999761e+01,2.051009851137028817e-03,-9.827355563765570381e-05
5.011869000000000085e+01,2.063111348846824976e-03,-1.100339325128004390e-04
3.981069000000000102e+01,2.076661033514161543e-03,-1.232016746061653377e-04
3.162274999999999991e+01,2.091832218860000502e-03,-1.379452090046675715e-04
2.511884999999999835e+01,2.108818903686145163e-03,-1.544530500929526334e-04
1.995260999999999996e+01,2.127838296038257661e-03,-1.729364518231089008e-04
1.584891999999999967e+01,2.149134031112060004e-03,-1.936323691248578824e-04
1.258924000000000021e+01,2.172981117075307392e-03,-2.168038486858953821e-04
9.999990999999999630e+00,2.199680037179057007e-03,-2.427364999172497287e-04
7.943274999999999864e+00,2.229535856088054116e-03,-2.717648093499650539e-04
6.309567999999999621e+00,2.262894084395381412e-03,-3.043535642057611495e-04
5.011867999999999768e+00,2.300326072316115009e-03,-3.411128993910826830e-04
3.981068000000000051e+00,2.342827933770443363e-03,-3.825225088703374096e-04
3.162275000000000169e+00,2.391640799278516635e-03,-4.283936947042998942e-04
2.511883999999999784e+00,2.447443685898131795e-03,-4.775459955349829104e-04
1.995260000000000034e+00,2.509233379320533787e-03,-5.283156988920978533e-04
1.584891999999999967e+00,2.573751644866122297e-03,-5.800454743189908296e-04
1.258923999999999932e+00,2.636221915710288202e-03,-6.348039216622749017e-04
9.999989999999999712e-01,2.692144528738774165e-03,-6.981140384054808400e-04
7.943270000000000053e-01,2.738903261094723963e-03,-7.782451394156207581e-04
6.309569999999999901e-01,2.776184924611494690e-03,-8.848767909690428025e-04
5.011870000000000491e-01,2.805354696799224144e-03,-1.028243237472269145e-03
3.981069999999999887e-01,2.828536223170078322e-03,-1.219145672274460964e-03
3.162269999999999803e-01,2.847940858702490384e-03,-1.469610372317061179e-03
2.511880000000000224e-01,2.865554850908671840e-03,-1.793822693886357048e-03
1.995260000000000089e-01,2.883081885177432233e-03,-2.209183021328158837e-03
1.584889999999999910e-01,2.902009729097509462e-03,-2.737438360931477438e-03
1.258920000000000039e-01,2.923719558767764234e-03,-3.405931266997964599e-03
1.000000000000000056e-01,2.949601200996901026e-03,-4.249065650101065648e-03
7.943300000000000360e-02,2.981166773409407635e-03,-5.310206943975409599e-03
6.309599999999999931e-02,3.020155828381388720e-03,-6.643846792402794549e-03
5.011899999999999689e-02,3.068647495349455766e-03,-8.318456023180436851e-03
3.981099999999999917e-02,3.129181348811946317e-03,-1.041998623006645634e-02
3.162299999999999833e-02,3.204898848068119498e-03,-1.305632430298321080e-02
2.511899999999999897e-02,3.299710299212508906e-03,-1.636279498815331260e-02
1.995299999999999851e-02,3.418491117659484650e-03,-2.050878421093255133e-02
1.584899999999999851e-02,3.567379582199636454e-03,-2.570796092226319829e-02
1.258899999999999950e-02,3.754032982711915344e-03,-3.222706694015846363e-02
1.000000000000000021e-02,3.988001211618512343e-03,-4.039879321686461883e-02
