# freq,Re(Z),Im(Z)
9.999994000000000369e+02,7.554427804182249281e-03,-1.531501834242207270e-04
7.943277000000000498e+02,7.573243873874002142e-03,-1.715684314830184039e-04
6.309569000000000187e+02,7.594322810053162273e-03,-1.922017030282178606e-04
5.011868999999999801e+02,7.617936747026854936e-03,-2.153163787257106332e-04
3.981068999999999960e+02,7.644390563760412524e-03,-2.412108915906473975e-04
3.162275000000000205e+02,7.674025806038531176e-03,-2.702195662237035943e-04
2.511884000000000015e+02,7.707225057443980835e-03,-3.027168973757017622e-04
1.995261000000000138e+02,7.744416865581082131e-03,-3.391223720176555286e-04
1.584892000000000110e+02,7.786081528557620667e-03,-3.799061334811051341e-04
1.258923999999999950e+02,7.832756954210725805e-03,-4.255947168044168800e-04
9.999990999999999985e+01,7.885045556378943166e-03,-4.767777991994748342e-04
7.943274999999999864e+01,7.943622582607841320e-03,-5.341163516861630002e-04
6.309566999999999837e+01,8.009244257582788865e-03,-5.983506102480045698e-04
5.011867000000000161e+01,8.082757751768832391e-03,-6.703098375417705385e-04
3.981067999999999785e+01,8.165112132974002013e-03,-7.509229944928744486e-04
3.162274000000000029e+01,8.257370646752887344e-03,-8.412308867910519346e-04
2.511883999999999872e+01,8.360723491790124709e-03,-9.424004926415268865e-04
1.995260000000000034e+01,8.476512410439542011e-03,-1.055740697643986958e-03
1.584891000000000005e+01,8.606244474094007849e-03,-1.182686521759380993e-03
1.258924000000000021e+01,8.751509223890029110e-03,-1.324812418025187247e-03
9.999988000000000099e+00,8.913914216745312882e-03,-1.484121288102228844e-03
7.943272000000000332e+00,9.095613360622090138e-03,-1.663485032441644560e-03
6.309565000000000090e+00,9.300563350464115600e-03,-1.866157981422631330e-03
5.011866000000000376e+00,9.534994304959486244e-03,-2.093463818039244684e-03
3.981066000000000216e+00,9.804926910535038259e-03,-2.341938272212344685e-03
3.162272999999999890e+00,1.011057821296489773e-02,-2.603256049373135327e-03
2.511883000000000088e+00,1.044096735065584529e-02,-2.869604442784807075e-03
1.995258999999999894e+00,1.077383376534568442e-02,-3.143131075121658423e-03
1.584891000000000050e+00,1.108295094964721790e-02,-3.443443562793694051e-03
1.258923999999999932e+00,1.134832751831213807e-02,-3.807628194114729900e-03
9.999980000000000535e-01,1.156206956475115677e-02,-4.283887598223174234e-03
7.943270000000000053e-01,1.172739383226993615e-02,-4.924970151800127025e-03
6.309559999999999613e-01,1.185390973458048253e-02,-5.785892019828892813e-03
5.011860000000000204e-01,1.195309506228476454e-02,-6.925977577462284415e-03
3.981060000000000154e-01,1.203568549525190975e-02,-8.413356407324894606e-03
3.162269999999999803e-01,1.211078018161151904e-02,-1.033031954126473369e-02
2.511880000000000224e-01,1.218593231154723594e-02,-1.277910839024361603e-02
1.995260000000000089e-01,1.226763153207846915e-02,-1.588814244740379203e-02
1.584889999999999910e-01,1.236188000393480257e-02,-1.981939547021308382e-02
1.258920000000000039e-01,1.247473459405958225e-02,-2.477699619732488812e-02
1.000000000000000056e-01,1.261280464653180555e-02,-3.101781086314030558e-02
7.943300000000000360e-02,1.278374423439364999e-02,-3.886548499725173828e-02
6.309599999999999931e-02,1.299672766353176037e-02,-4.872661474571720469e-02
5.011899999999999689e-02,1.326299420638916288e-02,-6.111215061842590474e-02
3.981099999999999917e-02,1.359646808345005287e-02,-7.666373377062073169e-02
3.162299999999999833e-02,1.401451261566544204e-02,-9.618723534866374658e-02
2.511899999999999897e-02,1.453884104600483042e-02,-1.206942393081142650e-01
1.995299999999999851e-02,1.519660113121854353e-02,-1.514520535914498089e-01
1.584899999999999851e-02,1.602203106562841151e-02,-1.900607068959100365e-01
1.499999999999999944e-02,1.624872916285928504e-02,-2.006654200020461520e-01
