Frequency,Real_Error,Imag_Error
999.9994,4.539324173161337e-05,0.0001440923171708554
794.3277,4.0691803259104015e-05,0.00010218839094914403
630.9569,4.626539395506321e-05,7.938851103969974e-05
501.1869,6.138008295438618e-05,6.244312532359284e-05
398.1069,6.295671980162398e-05,3.415756699674921e-05
316.2275,6.020645575363463e-05,2.8131427773697086e-05
251.1884,8.311874978021716e-05,1.4597708857881718e-05
199.5261,6.748173808311577e-05,1.88831690861023e-05
158.4892,8.348462202009948e-05,7.705340313631979e-06
125.8924,8.275195819903557e-05,4.289660799685355e-06
99.99991,7.931676446336529e-05,1.2690754244537041e-05
79.43275,7.35849942905386e-05,5.5507100806224475e-06
63.09567,6.008419196878653e-05,6.519037171991691e-06
50.11867,7.381104275554738e-05,2.5534108954736526e-06
39.81068,8.813833393721791e-05,1.4770413481467485e-05
31.62274,0.00010978158545664474,3.084973961940511e-05
25.11884,0.0001133980355845169,1.631924263086667e-05
19.9526,7.98343416917504e-05,7.161706712554921e-05
15.84891,9.390317195403543e-05,0.00010874249190796033
12.58924,0.00010743359396385779,7.146436278720808e-05
9.999988,3.315235955018633e-05,0.00016165706189673746
7.943272,6.581463742023896e-05,0.0002159533517287987
6.309565,1.1767128004200322e-05,0.00025913964391884275
5.011866,5.1548211945617525e-05,0.00031798220800936545
3.981066,0.0001910453997489396,0.00038828160449013143
3.162273,0.0002780200005855025,0.00036268924996604116
2.511883,0.0004471946588153683,0.0002596959164114323
1.995259,0.0005701572448190122,0.00013706579842378934
1.584891,0.0006222642304649969,1.9143918910204984e-05
1.258924,0.0006328311586983257,0.00013844439893586323
0.999998,0.000550208852718068,0.0003373167029224501
0.794327,0.00045685701534449105,0.00046312584065219715
0.630956,0.0002816756368543404,0.0005773837230397746
0.501186,0.00013075271811623101,0.0006071677938545954
0.398106,1.6601596708899075e-05,0.0005888543115989096
0.316227,0.00019942429836414775,0.0005704438742792223
0.251188,0.0003395868086492025,0.0004815157525322293
0.199526,0.0004013117610003787,0.00042767376329479884
0.158489,0.0004547120437572664,0.0002724559113450563
0.125892,0.0004405722839135092,0.0001554965057087715
0.1,0.0004315418777708739,5.9348720054155923e-05
0.079433,0.00039755191248474694,1.0472289851570782e-05
0.063096,0.00036064646901022394,1.9167958443339073e-05
0.050119,0.0002523230813862732,0.00011523570395687022
0.039811,0.00013352995650120145,5.8760203877641914e-05
0.031623,2.9488139827374762e-05,0.00011309009809282178
0.025119,0.00011367071262787659,9.662561459000685e-05
0.019953,0.0002252660609153804,3.245003320428985e-05
0.015849,0.0002848209016559043,1.1012572137869547e-05
0.015,0.00022104215996330938,3.643155290278255e-06
