# freq,Re(Z),Im(Z)
5.011872000000000116e+04,5.701380101720206900e-02,-7.700609285494576517e-03
3.981070999999999913e+04,5.782832260812668240e-02,-9.474122166132569259e-03
3.162277000000000044e+04,5.904860636556607395e-02,-1.153522063367920514e-02
2.511886000000000058e+04,6.083070485128266175e-02,-1.381911985982030820e-02
1.995261999999999898e+04,6.332937998766745291e-02,-1.616622362195124438e-02
1.584893000000000029e+04,6.663267244593869265e-02,-1.830347764473742866e-02
1.258925000000000000e+04,7.067235667800612908e-02,-1.988121599728072397e-02
9.999996999999999389e+03,7.516862103230061154e-02,-2.059014483946212254e-02
7.943279999999999745e+03,7.968514475404206432e-02,-2.031042473020591016e-02
6.309570999999999913e+03,8.379227782175900641e-02,-1.917801408129938753e-02
5.011871000000000095e+03,8.722381585801182446e-02,-1.750786704129835003e-02
3.981070000000000164e+03,8.992105791828167161e-02,-1.564554420640726362e-02
3.162275999999999840e+03,9.197335438219825243e-02,-1.385822020586972847e-02
2.511885000000000218e+03,9.353165205583605091e-02,-1.230380946575740202e-02
1.995260999999999967e+03,9.474761882792383239e-02,-1.105071996459961424e-02
1.584892000000000053e+03,9.574671085072239407e-02,-1.011125933444008591e-02
1.258924999999999955e+03,9.662321840705416498e-02,-9.469336140947215777e-03
9.999994000000000369e+02,9.744487052076178379e-02,-9.098139214133729724e-03
7.943277000000000498e+02,9.825975253631322182e-02,-8.969758797197007610e-03
6.309569000000000187e+02,9.910258181571539315e-02,-9.059707812195448226e-03
5.011868999999999801e+02,9.999949825471288190e-02,-9.348665108308295418e-03
3.981068999999999960e+02,1.009714692701811078e-01,-9.822839877385738591e-03
3.162275000000000205e+02,1.020366221413093466e-01,-1.047373836486037608e-02
2.511884000000000015e+02,1.032118255860877964e-01,-1.129772796464583590e-02
1.995261000000000138e+02,1.045137742444749440e-01,-1.229558796446847402e-02
1.584892000000000110e+02,1.059597637997694020e-01,-1.347213536856072154e-02
1.258923999999999950e+02,1.075682487403740728e-01,-1.483593070481374621e-02
9.999990999999999985e+01,1.093592950539700737e-01,-1.639909212026527396e-02
7.943274999999999864e+01,1.113549913019162008e-01,-1.817722325799214084e-02
6.309566999999999837e+01,1.135797807731804554e-01,-2.018940218806970083e-02
5.011867000000000161e+01,1.160608666930220967e-01,-2.245833824249986524e-02
3.981067999999999785e+01,1.188288520020449046e-01,-2.501033664137056883e-02
3.162274000000000029e+01,1.219174494600094860e-01,-2.787457305351448422e-02
2.511883999999999872e+01,1.253606771207212978e-01,-3.108500797675876892e-02
1.995260000000000034e+01,1.291950668496580079e-01,-3.468982676630722600e-02
1.584891000000000005e+01,1.334797442464082939e-01,-3.875616609273261487e-02
1.258924000000000021e+01,1.383223697257285334e-01,-4.334206550312492967e-02
9.999988000000000099e+00,1.438644714417306181e-01,-4.843434121361988448e-02
7.943272000000000332e+00,1.501928215569777458e-01,-5.390646360463412223e-02
6.309565000000000090e+00,1.572109173300305085e-01,-5.957132998150734687e-02
5.011866000000000376e+00,1.645721546716751305e-01,-6.534914022624799257e-02
3.981066000000000216e+00,1.717662241081311381e-01,-7.146077254233021425e-02
3.162272999999999890e+00,1.783254128969214425e-01,-7.850075257527430739e-02
2.511883000000000088e+00,1.839978872635106844e-01,-8.734395236494278680e-02
1.995258999999999894e+00,1.887779769282110776e-01,-9.899237031454816149e-02
1.584891000000000050e+00,1.928236380358379076e-01,-1.144883010739665974e-01
1.258923999999999932e+00,1.963532152780885220e-01,-1.349280660970261225e-01
9.999980000000000535e-01,1.995767921901362429e-01,-1.615404655845510407e-01
7.943270000000000053e-01,2.026676469340463194e-01,-1.957897353974173971e-01
6.309559999999999613e-01,2.057588192492990631e-01,-2.394877342668991493e-01
5.011860000000000204e-01,2.089499203365987046e-01,-2.949116226886771552e-01
3.981060000000000154e-01,2.123164023838118863e-01,-3.649391331957964613e-01
3.162269999999999803e-01,2.159176299767437412e-01,-4.532080325376414698e-01
2.511880000000000224e-01,2.198031396051281505e-01,-5.643148278873522106e-01
1.995260000000000089e-01,2.240169493875352469e-01,-7.040579656695342692e-01
1.584889999999999910e-01,2.286007936167838428e-01,-8.797524325756702623e-01
1.258920000000000039e-01,2.335960443959376465e-01,-1.100612990669096902e+00
1.000000000000000056e-01,2.390450849906650133e-01,-1.378236175561730503e+00
