Frequency,Real_Error,Imag_Error
50118.72,0.004189672566653889,0.006784458031080961
39810.71,0.003428113133805047,0.00432057033725399
31622.77,0.002465337807783685,0.0024571058866669406
25118.86,0.0015079630245327519,0.0012081994049155456
19952.62,0.0004996381203951905,0.00023117970378229435
15848.93,0.0006894326591564554,0.00015489442875529433
12589.25,0.0016023366403300626,0.00018552612684918923
9999.997,0.0019772723107429196,0.0009000499632730655
7943.28,0.0017694990316404202,0.0016270782360746465
6309.571,0.0011522760480129346,0.0020820608740324056
5011.871,0.0004435105443325732,0.002157406635054031
3981.07,0.00020561274173082345,0.0019663781225389386
3162.276,0.000738353626001817,0.001576513431365844
2511.885,0.0010304327623327503,0.0011272332537109568
1995.261,0.0011396233363936553,0.0006703161646835609
1584.892,0.0011676805176760036,0.00028002495853874515
1258.925,0.001078643071964966,4.1461956459404314e-05
999.9994,0.0009153695197721412,0.0003459458661758865
794.3277,0.0007802943524489181,0.0005138268955037391
630.9569,0.0005762863205550084,0.0006692346456518283
501.1869,0.00034645973796706975,0.0007741377759211184
398.1069,0.00019632290817102327,0.0008203547698869534
316.2275,1.656189200283098e-05,0.000856631135515068
251.1884,0.000237477828032559,0.0008031413514023311
199.5261,0.00028645212143287024,0.0008092816755170817
158.4892,0.0005484066517116165,0.0007438938107939847
125.8924,0.0006853678685927594,0.0007432856708099959
99.99991,0.0007384007832730716,0.000651479267136025
79.43275,0.0008176640232323701,0.0006150165592487822
63.09567,0.0009388104250373092,0.0005839948190894048
50.11867,0.0009402428133263585,0.00041416721837328474
39.81068,0.0011305525451061893,0.00022816208847752095
31.62274,0.0012350277905309182,0.00029262992596649703
25.11884,0.001432540381188091,4.774286324170374e-05
19.9526,0.0011023719032927926,0.0002159772187756981
15.84891,0.0011640903406318348,0.00036624367171212563
12.58924,0.0012439408834698795,0.0005491208377464626
9.999988,0.00025045913489146754,0.001037418832561178
7.943272,9.877111966866137e-05,0.0011577998711844034
6.309565,0.0004397810928102597,0.000531680927682382
5.011866,0.00013106622966432835,0.0008446541323780671
3.981066,0.0007057403595993883,0.00036494159830759154
3.162273,0.00028391727044957404,0.00041995878996367586
2.511883,0.00042557391078915097,0.00039566595703784124
1.995259,0.00037189389100661385,0.00019924569418625082
1.584891,0.00033250686107089145,0.00024365681339338918
1.258924,0.00036086401236343213,0.0006176373242714472
0.999998,0.00037994982566999513,0.0007834927092588151
0.794327,0.0002181338047898551,0.0008678190941696085
0.630956,2.4943666131760356e-06,0.0008707042304563761
0.501186,0.00028232909601749734,0.0005553073137618547
0.398106,0.00039109122718977707,0.0003806703065137307
0.316227,0.0006544972956918915,0.00010642092861101737
0.251188,0.0007849169000938017,0.0004273444702351803
0.199526,0.0007691698361816657,0.0006132074789204633
0.158489,0.0004949116018526933,0.0011029183808222154
0.125892,0.0005712593008263267,0.0010908038080923443
0.1,0.0025827324065473556,0.0014731223921629066
