Parameter,Value
R_s,0.05443846336637107
Wo_Zo,0.2530357694975395
Wo_T,0.23785958410060729
CPE_H,0.0004481131725712832
alpha_H,0.9714757955980884
R_int,0.049579005770728185
CPE_ads,12.524413261962069
alpha_ads,0.7132752635656934
