Parameter,Value
R_s,0.0551731416
Wo_Zo,0.262415249
Wo_T,0.286877603
CPE_H,0.000403352192
alpha_H,0.999239049
R_int,0.0399821566
CPE_ads,21.7717863
alpha_ads,0.419073668
