# freq,Re(Z),Im(Z)
1.995261000000000138e+02,1.994510954778357190e-03,-5.517728356841553820e-05
1.584892000000000110e+02,2.001315406948778099e-03,-6.175940526528589164e-05
1.258924999999999983e+02,2.008931546985570811e-03,-6.912669351852388780e-05
9.999993999999999517e+01,2.017456244789935221e-03,-7.737285307366063858e-05
7.943277000000000498e+01,2.026997849527464868e-03,-8.660269286202004486e-05
6.309568999999999761e+01,2.037677674193187280e-03,-9.693356205295669548e-05
5.011869000000000085e+01,2.049631495466425375e-03,-1.084968013882253376e-04
3.981069000000000102e+01,2.063011299308415303e-03,-1.214394245941907398e-04
3.162274999999999991e+01,2.077987168639968633e-03,-1.359259676157188431e-04
2.511884999999999835e+01,2.094749390344180073e-03,-1.521407716041475906e-04
1.995260999999999996e+01,2.113512168420885861e-03,-1.702903268047084280e-04
1.584891999999999967e+01,2.134515638618139297e-03,-1.906012193667333424e-04
1.258924000000000021e+01,2.158014309869357803e-03,-2.133227319452268421e-04
9.999990999999999630e+00,2.184268210996794749e-03,-2.387684876177836499e-04
7.943274999999999864e+00,2.213619969849888337e-03,-2.673808108181916724e-04
6.309567999999999621e+00,2.246677631297191047e-03,-2.996618926178307813e-04
5.011867999999999768e+00,2.284390258679102736e-03,-3.358384603088064579e-04
3.981068000000000051e+00,2.327695734787066980e-03,-3.754337997276021698e-04
3.162275000000000169e+00,2.376698975227103071e-03,-4.172296761021104133e-04
2.511883999999999784e+00,2.429842442322096251e-03,-4.600267874372751509e-04
1.995260000000000034e+00,2.483820994113508825e-03,-5.040470999584138138e-04
1.584891999999999967e+00,2.534605206913535889e-03,-5.521274784950359329e-04
1.258923999999999932e+00,2.578984294155965522e-03,-6.098438033683225993e-04
9.999989999999999712e-01,2.615554221047041751e-03,-6.846231965659241086e-04
7.943270000000000053e-01,2.644683073533358325e-03,-7.847236027057167976e-04
6.309569999999999901e-01,2.667839347101561009e-03,-9.187991363610968762e-04
5.011870000000000491e-01,2.686888474004635145e-03,-1.096148940168761117e-03
3.981069999999999887e-01,2.703655390872614778e-03,-1.327366638443795840e-03
3.162269999999999803e-01,2.719759960343588485e-03,-1.625163638270203615e-03
2.511880000000000224e-01,2.736618078607892888e-03,-2.005244231759527145e-03
1.995260000000000089e-01,2.755518441665333849e-03,-2.487282397295840705e-03
1.584889999999999910e-01,2.777721131269355551e-03,-3.096033556197892635e-03
1.258920000000000039e-01,2.804557107205704006e-03,-3.862638910320916139e-03
1.000000000000000056e-01,2.837525062016314856e-03,-4.826219364420935784e-03
7.943300000000000360e-02,2.878393363613492972e-03,-6.035987158556209431e-03
6.309599999999999931e-02,2.929302333885141271e-03,-7.553665815063757144e-03
5.011899999999999689e-02,2.992885672190885669e-03,-9.456692186304462358e-03
3.981099999999999917e-02,3.072411154194899623e-03,-1.184214665636188109e-02
3.162299999999999833e-02,3.171953658656596203e-03,-1.483175159554270435e-02
2.511899999999999897e-02,3.296605090369856758e-03,-1.857804007493817772e-02
1.995299999999999851e-02,3.452724670852678861e-03,-2.327177207367053455e-02
1.584899999999999851e-02,3.648323323317004003e-03,-2.915339525835478410e-02
1.258899999999999950e-02,3.893393131356578593e-03,-3.652284704131551069e-02
1.000000000000000021e-02,4.200390247881187825e-03,-4.575394061948215296e-02
