Frequency,Real_Error,Imag_Error
1258.925,7.335808449733527e-05,0.00011945633290754695
999.9994,6.449913258315797e-05,9.00207003791184e-05
794.3277,2.8627102192672546e-05,5.7300353626445885e-05
630.9569,4.374299657960209e-05,3.104628918563395e-05
501.1869,4.7215379032369484e-05,2.56172415699166e-05
398.1069,3.893081977040386e-05,1.4965248538448451e-05
316.2275,2.0082706992720703e-05,2.714490219192132e-06
251.1884,2.48684909518581e-05,1.2466594140390572e-05
199.5261,2.068464876849724e-06,1.6079661826162728e-05
158.4892,2.0236172933903174e-06,3.257071893974817e-05
125.8924,1.0723868934414682e-05,2.5956313462195918e-05
99.99991,3.3705907799812945e-06,2.208533268641317e-05
79.43275,2.780802784202799e-06,2.566786755430839e-05
63.09567,6.985649960378204e-06,2.7023978340412198e-05
50.11867,3.888314727530998e-06,3.310893538422278e-05
39.81068,2.3870407180059255e-05,5.527907384446297e-05
31.62274,2.5268866090047068e-05,2.0846455753371928e-05
25.11884,4.506053083344966e-05,4.989538809497792e-05
19.9526,4.432227105454628e-05,3.505465762654574e-06
15.84891,4.147713826937148e-05,2.324029729639074e-05
12.58924,5.1243679906472564e-05,2.0738083693864085e-06
9.999988,6.973119278379063e-05,4.4306951312348374e-05
7.943272,9.40924579723567e-05,5.476536162033309e-05
6.309565,7.98784885698671e-05,7.366873163176563e-05
5.011866,0.00010523923536880607,5.7072695007022445e-05
3.981066,0.00012134664842192687,0.0002233966520143074
3.162273,0.00010854432105496248,0.00016329989534473845
2.511883,2.2609024573332775e-06,0.00023551914001645373
1.995259,0.00011287020391559204,0.0003271221456361208
1.584891,0.00017454905124222354,0.00030130161252127493
1.258924,0.0002943820448827548,0.00022751481182025062
0.999998,0.00042598610100621007,0.00017942144008232207
0.794327,0.00048066722631962336,4.456156902513629e-05
0.630956,0.0004845438558995045,3.277047805065169e-05
0.501186,0.00042174625626439054,0.00011291684398973597
0.398106,0.00029636750120974435,0.000175870572525395
0.316227,0.00017260402181373813,0.00020809894460499523
0.251188,8.942132956973187e-06,0.00022498658621526377
0.199526,0.0001398546732605567,0.0001225889174728545
0.158489,0.00023694427515115815,0.00012925414958969705
0.125892,0.000324488855700366,5.082300386347743e-06
0.1,0.0003259105522559567,7.162103440371687e-05
0.079433,0.00033100867624557065,0.00025982155694054265
0.063096,0.0003329738693988709,0.00032194045457607096
0.050119,0.00029649483726658377,0.00041153518196835465
0.039811,0.0002484891446097384,0.0004851468490328914
0.031623,0.0001601856090059535,0.0003677117939154678
0.025119,3.461961537322422e-05,0.0002863764480732778
0.019953,3.394989715231958e-05,9.47336053089276e-05
0.015849,4.8973573780992236e-05,0.0002512645801722446
0.015,3.549516547944956e-05,0.000592666725052815
