Parameter,Value,Error
R_0,0.007625142594823213,
B_1_0,0.015274720762581647,
B_1_1,1e+32,
B_1_2,60.336060944204185,
B_1_3,0.9809506240935647,
B_1_4,1.0093618737154926,
