SOC,Frequency_Hz,Real_Z_Ohm,Imag_Z_Ohm
20,1584.892,0.007594534,4.330284e-05
20,1258.925,0.007604896,-1.667804e-05
20,999.9994,0.007641712,-7.105612e-05
20,794.3277,0.007657603,-0.0001081136
20,630.9569,0.007704898,-0.0001448463
20,501.1869,0.007713281,-0.0001844493
20,398.1069,0.007744275,-0.0002161299
20,316.2275,0.007775681,-0.0002616334
20,251.1884,0.00782938,-0.0002983097
20,199.5261,0.007847599,-0.0003354076
20,158.4892,0.00789638,-0.0003857038
20,125.8924,0.007954627,-0.0004429028
20,99.99991,0.007999679,-0.0004878239
20,79.43275,0.008052987,-0.0005475609
20,63.09567,0.008098966,-0.0006255178
20,50.11867,0.008191015,-0.0006831961
20,39.81068,0.008266862,-0.0007673862
20,31.62274,0.008386003,-0.0008570951
20,25.11884,0.008478819,-0.000959926
20,19.9526,0.008575949,-0.001066672
20,15.84891,0.008757157,-0.001195565
20,12.58924,0.00889295,-0.001327296
20,9.999988,0.00904385,-0.001476245
20,7.943272,0.009223657,-0.001591543
20,6.309565,0.009422168,-0.001793578
20,5.011866,0.009629915,-0.001966251
20,3.981066,0.009810729,-0.002167234
20,3.162273,0.01002141,-0.002410747
20,2.511883,0.01018795,-0.002772694
20,1.995259,0.01036433,-0.003172763
20,1.584891,0.01052451,-0.003672093
20,1.258924,0.01074792,-0.004300235
20,0.999998,0.01096217,-0.005155601
20,0.794327,0.0111671,-0.006201501
20,0.630956,0.01139004,-0.007463738
20,0.501186,0.0116223,-0.009057478
20,0.398106,0.01188182,-0.01100331
20,0.316227,0.01210544,-0.0134271
20,0.251188,0.01232489,-0.01650578
20,0.199526,0.01251203,-0.02038078
20,0.158489,0.01262196,-0.02533702
20,0.125892,0.01277673,-0.03152505
20,0.1,0.0129194,-0.03936912
20,0.079433,0.01305643,-0.04931556
20,0.063096,0.01326536,-0.06184376
20,0.050119,0.01347884,-0.07751226
20,0.039811,0.01378447,-0.09739831
20,0.031623,0.01415655,-0.1222396
20,0.025119,0.01460125,-0.1534497
20,0.019953,0.01527101,-0.1927545
20,0.015849,0.01605598,-0.2420784
20,0.015,0.01636354,-0.255686
40,100000,0.008306743,0.01087804
40,79432.82,0.008321462,0.008648919
40,63095.73,0.008325769,0.006926255
40,50118.72,0.008352691,0.005624604
40,39810.71,0.008364971,0.004729491
40,31622.77,0.008220162,0.00416289
40,25118.86,0.007693462,0.003654371
40,19952.62,0.007211657,0.002684911
40,15848.93,0.007289113,0.001850079
40,12589.25,0.007453864,0.001387479
40,9999.997,0.007543673,0.001102516
40,7943.28,0.007578926,0.0008988629
40,6309.571,0.007576919,0.0007323894
40,5011.871,0.007549451,0.0005932571
40,3981.07,0.007536357,0.0004591016
40,3162.276,0.007526897,0.0003444004
40,2511.885,0.007527986,0.0002453083
40,1995.261,0.007530884,0.0001752048
40,1584.892,0.007547915,8.658938e-05
40,1258.925,0.007552403,1.539863e-05
40,999.9994,0.007571971,-3.229396e-05
40,794.3277,0.007597419,-9.63518e-05
40,630.9569,0.00761228,-0.0001274558
40,501.1869,0.007663647,-0.0001677085
40,398.1069,0.007666387,-0.000206013
40,316.2275,0.007701308,-0.0002384837
40,251.1884,0.007738083,-0.0002699893
40,199.5261,0.007777702,-0.0003267941
40,158.4892,0.007814034,-0.0003702025
40,125.8924,0.007871047,-0.0004084764
40,99.99991,0.007916586,-0.0004771671
40,79.43275,0.007952913,-0.0005283171
40,63.09567,0.008032091,-0.0005903011
40,50.11867,0.008118556,-0.0006724814
40,39.81068,0.008188967,-0.0007511386
40,31.62274,0.008277659,-0.0008269571
40,25.11884,0.008404984,-0.0009191842
40,19.9526,0.008484328,-0.001037723
40,15.84891,0.008648949,-0.001140835
40,12.58924,0.008782459,-0.001296442
40,9.999988,0.008957719,-0.001415679
40,7.943272,0.009134009,-0.001536061
40,6.309565,0.00932465,-0.001717803
40,5.011866,0.009551125,-0.001903106
40,3.981066,0.009721855,-0.002052869
40,3.162273,0.009949723,-0.002317709
40,2.511883,0.01011947,-0.002588376
40,1.995259,0.01032762,-0.002890034
40,1.584891,0.01051429,-0.003335456
40,1.258924,0.0107188,-0.003904597
40,0.999998,0.01089954,-0.00463259
40,0.794327,0.01109269,-0.005540862
40,0.630956,0.01131454,-0.006644674
40,0.501186,0.01154286,-0.00801244
40,0.398106,0.0118244,-0.00972563
40,0.316227,0.01204149,-0.01181758
40,0.251188,0.01230392,-0.01449847
40,0.199526,0.0124547,-0.01784723
40,0.158489,0.01260548,-0.02208576
40,0.125892,0.01279019,-0.02747993
40,0.1,0.01289753,-0.03422892
40,0.079433,0.01305179,-0.0428226
40,0.063096,0.01325442,-0.05367333
40,0.050119,0.01339905,-0.06726667
40,0.039811,0.01367297,-0.0843517
40,0.031623,0.01403135,-0.1060131
40,0.025119,0.01439166,-0.133063
40,0.019953,0.0149419,-0.1671109
40,0.015849,0.01564421,-0.2099296
40,0.015,0.01586817,-0.2217998
60,100000,0.008357739,0.01089323
60,79432.82,0.008367467,0.008664024
60,63095.73,0.008375539,0.006948553
60,50118.72,0.008413509,0.005653562
60,39810.71,0.008415031,0.004759708
60,31622.77,0.008259368,0.004192238
60,25118.86,0.007716709,0.003673998
60,19952.62,0.007230268,0.002701075
60,15848.93,0.00731457,0.001861155
60,12589.25,0.007465572,0.00139313
60,9999.997,0.007556477,0.001109332
60,7943.28,0.007592212,0.000904161
60,6309.571,0.007587922,0.0007389533
60,5011.871,0.007560259,0.0005962537
60,3981.07,0.007552803,0.0004675208
60,3162.276,0.007535358,0.0003607108
60,2511.885,0.007547178,0.0002534366
60,1995.261,0.007540603,0.00017296
60,1584.892,0.007552187,8.724541e-05
60,1258.925,0.007552907,2.722715e-05
60,999.9994,0.007564791,-2.415092e-05
60,794.3277,0.007599666,-8.279186e-05
60,630.9569,0.00762614,-0.0001203036
60,501.1869,0.007657818,-0.0001681008
60,398.1069,0.007689967,-0.0002082075
60,316.2275,0.007701771,-0.0002470983
60,251.1884,0.007735014,-0.0002797518
60,199.5261,0.00779044,-0.000321601
60,158.4892,0.007832927,-0.0003653029
60,125.8924,0.007886495,-0.0004156225
60,99.99991,0.007924946,-0.0004724042
60,79.43275,0.007976981,-0.0005347292
60,63.09567,0.008028137,-0.0006033325
60,50.11867,0.008125024,-0.0006791923
60,39.81068,0.008231884,-0.0007579752
60,31.62274,0.008297601,-0.0008344661
60,25.11884,0.008398545,-0.0009480058
60,19.9526,0.008537597,-0.00103909
60,15.84891,0.008676322,-0.001152689
60,12.58924,0.008792656,-0.00126637
60,9.999988,0.00901142,-0.001408234
60,7.943272,0.009186931,-0.001565739
60,6.309565,0.009390273,-0.001703934
60,5.011866,0.009556745,-0.001871232
60,3.981066,0.009831082,-0.002048338
60,3.162273,0.01001465,-0.00230475
60,2.511883,0.01021548,-0.002498277
60,1.995259,0.0104849,-0.002827642
60,1.584891,0.0106746,-0.003223595
60,1.258924,0.01085322,-0.003740153
60,0.999998,0.01102682,-0.004350432
60,0.794327,0.01121329,-0.005132064
60,0.630956,0.0114223,-0.006118967
60,0.501186,0.01168536,-0.007359232
60,0.398106,0.01190643,-0.008902607
60,0.316227,0.01216227,-0.01083614
60,0.251188,0.01237055,-0.01324612
60,0.199526,0.01256473,-0.01626951
60,0.158489,0.01274522,-0.02010234
60,0.125892,0.01288171,-0.02496843
60,0.1,0.01302098,-0.03108995
60,0.079433,0.01316791,-0.03884861
60,0.063096,0.01331231,-0.04866482
60,0.050119,0.01352902,-0.06100268
60,0.039811,0.01373807,-0.07655224
60,0.031623,0.0140819,-0.09608856
60,0.025119,0.01450414,-0.1205622
60,0.019953,0.01509075,-0.1513643
60,0.015849,0.01582866,-0.1900477
60,0.015,0.01593393,-0.2008066
80,100000,0.008445743,0.01090889
80,79432.82,0.008442706,0.008682601
80,63095.73,0.008440695,0.006970693
80,50118.72,0.008469235,0.005677451
80,39810.71,0.00846313,0.00478185
80,31622.77,0.008301373,0.004212916
80,25118.86,0.007751987,0.003692522
80,19952.62,0.007262805,0.002716506
80,15848.93,0.007328824,0.001872543
80,12589.25,0.007490439,0.001401861
80,9999.997,0.007578813,0.001114242
80,7943.28,0.00761327,0.000905568
80,6309.571,0.007622256,0.0007386379
80,5011.871,0.007592787,0.0005907553
80,3981.07,0.007574523,0.0004629325
80,3162.276,0.007551139,0.0003468106
80,2511.885,0.007564434,0.0002311289
80,1995.261,0.007571795,0.0001561734
80,1584.892,0.007583951,8.306409e-05
80,1258.925,0.007589279,1.611407e-05
80,999.9994,0.007613711,-3.737484e-05
80,794.3277,0.007639532,-8.574016e-05
80,630.9569,0.00766555,-0.0001442046
80,501.1869,0.007700786,-0.0001784507
80,398.1069,0.007720807,-0.0002238408
80,316.2275,0.007745365,-0.0002625982
80,251.1884,0.00778457,-0.0002958658
80,199.5261,0.007842717,-0.0003384089
80,158.4892,0.007891212,-0.0003864328
80,125.8924,0.007943329,-0.00044096
80,99.99991,0.00798943,-0.0004886448
80,79.43275,0.008033711,-0.0005397479
80,63.09567,0.00809869,-0.0006080239
80,50.11867,0.008194155,-0.0006800967
80,39.81068,0.008258918,-0.0007565059
80,31.62274,0.008362276,-0.0008576501
80,25.11884,0.008469317,-0.0009506439
80,19.9526,0.008607644,-0.001059048
80,15.84891,0.008746719,-0.0011778
80,12.58924,0.008874705,-0.001289322
80,9.999988,0.009083921,-0.001425103
80,7.943272,0.009268355,-0.001575268
80,6.309565,0.009472124,-0.001715689
80,5.011866,0.009652267,-0.001930908
80,3.981066,0.00996177,-0.002092794
80,3.162273,0.01014195,-0.002309539
80,2.511883,0.01039887,-0.002503178
80,1.995259,0.01067692,-0.002818805
80,1.584891,0.010883,-0.003179755
80,1.258924,0.01108384,-0.003625978
80,0.999998,0.01125469,-0.004155188
80,0.794327,0.01146283,-0.004864437
80,0.630956,0.01167579,-0.005764824
80,0.501186,0.01191198,-0.00690594
80,0.398106,0.01212627,-0.008349739
80,0.316227,0.01238177,-0.01012536
80,0.251188,0.01260146,-0.01235855
80,0.199526,0.01279512,-0.01516232
80,0.158489,0.01296457,-0.01869589
80,0.125892,0.01313055,-0.02315361
80,0.1,0.01327925,-0.02881415
80,0.079433,0.01339858,-0.03600024
80,0.063096,0.01355823,-0.04507848
80,0.050119,0.013783,-0.05645241
80,0.039811,0.01401286,-0.07088695
80,0.031623,0.01437017,-0.0890322
80,0.025119,0.01476902,-0.1118058
80,0.019953,0.01536644,-0.1404683
80,0.015849,0.01609767,-0.1765739
80,0.015,0.016188,-0.1866065
