Frequency,Real_Error,Imag_Error
199.5261,3.0177895655741135e-05,4.7963545829822626e-05
158.4892,2.9082605477921426e-05,4.043408625067368e-05
125.8925,1.967817468983635e-05,2.544362225721895e-05
99.99994,2.488082312322639e-05,1.615382662043989e-05
79.43277,1.0177217829247364e-05,2.1963976091567822e-05
63.09569,1.7966971375090075e-05,1.214519833377818e-05
50.11869,8.47611938472291e-06,9.623100132368339e-06
39.81069,1.4317352875799563e-05,7.837655983426554e-06
31.62275,1.146705721869097e-05,4.964885507950591e-06
25.11885,8.570212459101372e-06,3.6932065224214313e-06
19.95261,9.832791338982173e-06,6.5900894890549226e-06
15.84892,1.8853179651300012e-06,1.600754047325297e-06
12.58924,1.5428857456749323e-07,7.932794674835096e-06
9.999991,3.811226761300107e-06,3.739703720008697e-09
7.943275,1.3657533445846776e-05,1.5456359206799514e-05
6.309568,5.47438901883808e-06,1.4176480032083874e-05
5.011868,1.7203318088833842e-05,7.882556288874953e-06
3.981068,2.8907233271704795e-06,1.9771781576698405e-05
3.162275,9.678736209987448e-06,1.8707605491354018e-05
2.511884,2.1213883075652494e-05,3.536681801592664e-05
1.99526,1.2471649461288144e-05,3.052506298019121e-05
1.584892,2.7106981682931824e-05,1.7321194403472425e-05
1.258924,5.491514306938533e-05,2.4641097184507996e-05
0.999999,6.756631071575502e-05,2.0193540224436204e-05
0.794327,6.420746453533526e-05,3.2718815371038422e-06
0.630957,7.236366251329703e-05,2.1377254383463237e-05
0.501187,6.60347547618823e-05,2.627882824364665e-05
0.398107,6.023628113556228e-05,4.634581976339816e-05
0.316227,5.0417053924084465e-05,5.5158594135481295e-05
0.251188,2.9941144242661127e-05,7.168039598197959e-05
0.199526,6.582235072898849e-06,8.087463348335029e-05
0.158489,3.3566469693686353e-06,8.761536527114111e-05
0.125892,3.163133384326408e-05,7.709959319576612e-05
0.1,6.758559761276027e-05,5.982348444190204e-05
0.079433,6.881677505785966e-05,4.896224337781318e-05
0.063096,9.014077123608438e-05,3.2094106533559624e-05
0.050119,0.00010441417041451512,2.32934426245765e-05
0.039811,7.791708640411633e-05,8.007923993694904e-06
0.031623,5.543773769349763e-05,3.909373490974116e-06
0.025119,3.966854667008732e-05,1.4840334399853633e-05
0.019953,3.4595356425133443e-06,1.8423197853573853e-05
0.015849,9.405110176802668e-06,2.3961797138094543e-05
0.012589,6.17057017628089e-05,5.316915310589476e-06
0.01,9.98174410149909e-05,7.096724937968868e-06
