Frequency,Real_Error,Imag_Error
199.5261,0.00044616281730188107,0.00013714846128154242
158.4892,0.00042126014451777287,0.00015030097112196157
125.8925,0.00040400862337920023,0.00017162789945338259
99.99994,0.0003713815530430359,0.00018810246661780087
79.43277,0.0003577179049240142,0.00019045643656527236
63.09569,0.00032039020568532146,0.00020950518072323121
50.11869,0.0002989307407094532,0.00022234503750660648
39.81069,0.0002605097152206422,0.00023550968865588087
31.62275,0.00022896820950034282,0.00025078282195735994
25.11885,0.000195496565312881,0.000265445765899796
19.95261,0.00015571696565846007,0.0002769141763490392
15.84892,0.0001265705838170597,0.000297226821145473
12.58924,8.10831471634338e-05,0.0003071369347711031
9.999991,3.1136718012554545e-05,0.00033215223519474454
7.943275,7.962404330549323e-07,0.0003345113426646867
6.309568,7.282254704431843e-05,0.0003542890334409539
5.011868,0.00010724444130528381,0.0003796012743038173
3.981068,0.00018397376478202377,0.0003865351862793221
3.162275,0.0002459643346530058,0.0004044043417127853
2.511884,0.00030954030582993047,0.0003995568020575543
1.99526,0.0003976809572334137,0.00040800049046152913
1.584892,0.0004626977322883469,0.00041472659041358854
1.258924,0.0005101050241780101,0.00039150079946765855
0.999999,0.0005646818956960343,0.0003735877515696918
0.794327,0.0006258667290723464,0.0003721872582861628
0.630957,0.0006666336821223571,0.0003664481891328935
0.501187,0.0007145253964924068,0.00035093303788395335
0.398107,0.0007562725601928093,0.0003552861178745629
0.316227,0.0007978546519550201,0.0003535392709527183
0.251188,0.0008467569299872423,0.000364620002289622
0.199526,0.0009084910827482297,0.0003732142784137957
0.158489,0.0009264714499392633,0.00038382498940444255
0.125892,0.0009699239079684146,0.0003812653249200791
0.1,0.0010111950962648102,0.0003756912441684008
0.079433,0.0010012671852763048,0.00038006531234268445
0.063096,0.000983965365578232,0.00038206325404022655
0.050119,0.0009142326530852739,0.0003965876866837553
0.039811,0.0007294911097512871,0.00041156460597505974
0.031623,0.00042845489867600686,0.0004429132185737022
0.025119,5.908169448122806e-05,0.0005018718025125192
0.019953,0.000874288929915703,0.0006238992310507695
0.015849,0.0021494577325118056,0.0008598231000508001
0.012589,0.004212666615659955,0.0013563469208223641
0.01,0.007395933505641652,0.002303291486396873
