Parameter,Value,Error
R_0,0.007481448967723746,
B_1_0,0.015727904013914946,
B_1_1,1e+32,
B_1_2,60.04214545101007,
B_1_3,0.9860051792125226,
B_1_4,0.9179184608320448,
