# freq,Re(Z),Im(Z)
5.011872000000000116e+04,5.748814256665388950e-02,-1.023301103108096091e-02
3.981070999999999913e+04,5.869089313380504436e-02,-1.240222833725398988e-02
3.162277000000000044e+04,6.039916780778368383e-02,-1.486376588666694053e-02
2.511886000000000058e+04,6.277304302453275142e-02,-1.752629940491554419e-02
1.995261999999999898e+04,6.595851812039518758e-02,-2.020248970378229342e-02
1.584893000000000029e+04,7.002398734084354370e-02,-2.259947557124470513e-02
1.258925000000000000e+04,7.488154335966994146e-02,-2.435995612684918946e-02
9.999996999999999389e+03,8.024188768925707982e-02,-2.516919996327306522e-02
7.943279999999999745e+03,8.566167096835958228e-02,-2.488803823607464716e-02
6.309570999999999913e+03,9.068437395198707118e-02,-2.362204087403240588e-02
5.011871000000000095e+03,9.499006945566743076e-02,-2.167049663505403109e-02
3.981070000000000164e+03,9.846039274173082334e-02,-1.939738812253893885e-02
3.162275999999999840e+03,1.011451536260018214e-01,-1.711571343136584350e-02
2.511885000000000218e+03,1.031850327623327485e-01,-1.503575325371095742e-02
1.995260999999999967e+03,1.047438233363936488e-01,-1.326854616468356104e-02
1.584892000000000053e+03,1.059698805176760017e-01,-1.185367495853874471e-02
1.258924999999999955e+03,1.069822430719649664e-01,-1.078858804354059647e-02
9.999994000000000369e+02,1.078705695197721415e-01,-1.005041413382411382e-02
7.943277000000000498e+02,1.087004943524489120e-01,-9.609543104496260507e-03
6.309569000000000187e+02,1.095199863205550128e-01,-9.437025354348172260e-03
5.011868999999999801e+02,1.103648597379670721e-01,-9.508142224078881127e-03
3.981068999999999960e+02,1.112630229081710276e-01,-9.803815230113047119e-03
3.162275000000000205e+02,1.122375618920028323e-01,-1.031091886448493207e-02
2.511884000000000015e+02,1.133089221719674466e-01,-1.102209864859766963e-02
1.995261000000000138e+02,1.144964478785671230e-01,-1.193541832448291769e-02
1.584892000000000110e+02,1.158194933482883798e-01,-1.305400618920601538e-02
1.258923999999999950e+02,1.172982321314072346e-01,-1.438575432919000398e-02
9.999990999999999985e+01,1.189542992167269275e-01,-1.594312073286397596e-02
7.943274999999999864e+01,1.208113359767676309e-01,-1.774306344075121666e-02
6.309566999999999837e+01,1.228954895749626852e-01,-1.980711518091059567e-02
5.011867000000000161e+01,1.252361571866736356e-01,-2.216135278162671696e-02
3.981067999999999785e+01,1.278658474548938218e-01,-2.483565791152247959e-02
3.162274000000000029e+01,1.308174722094690712e-01,-2.786548007403350305e-02
2.511883999999999872e+01,1.341260596188119103e-01,-3.130120286324170054e-02
1.995260000000000034e+01,1.378485280967071958e-01,-3.521392721877569798e-02
1.584891000000000005e+01,1.420907096593681529e-01,-3.966882367171212231e-02
1.258924000000000021e+01,1.469952591165301081e-01,-4.466272083774646545e-02
9.999988000000000099e+00,1.526546408651085207e-01,-5.007897883256117594e-02
7.943272000000000332e+00,1.589801711196686673e-01,-5.573623987118440232e-02
6.309565000000000090e+00,1.656289810928102679e-01,-6.155589092768238429e-02
5.011866000000000376e+00,1.720850337703356825e-01,-6.776155413237806846e-02
3.981066000000000216e+00,1.778671403595993850e-01,-7.496143159830759295e-02
3.162272999999999890e+00,1.827103827295504246e-01,-8.405962878996367516e-02
2.511883000000000088e+00,1.866038260892108613e-01,-9.610028404296215576e-02
1.995258999999999894e+00,1.897098061089933785e-01,-1.121757543058137518e-01
1.584891000000000050e+00,1.922583931389291179e-01,-1.334374568133933903e-01
1.258923999999999932e+00,1.944761359876365781e-01,-1.611753373242714449e-01
9.999980000000000535e-01,1.965561501743300077e-01,-1.969242927092588191e-01
7.943270000000000053e-01,1.986544661952101554e-01,-2.425781190941695975e-01
6.309559999999999613e-01,2.008978056333868278e-01,-3.005136042304563659e-01
5.011860000000000204e-01,2.033939290960175006e-01,-3.737275073137618642e-01
3.981060000000000154e-01,2.062412912271897880e-01,-4.660024703065137053e-01
3.162269999999999803e-01,2.095368972956918874e-01,-5.821083209286109783e-01
2.511880000000000224e-01,2.133827169000938051e-01,-7.280564555297648344e-01
1.995260000000000089e-01,2.178908698361816665e-01,-9.114125925210795343e-01
1.584889999999999910e-01,2.231885116018526849e-01,-1.141702081619177855e+00
1.258920000000000039e-01,2.294221593008263227e-01,-1.430903196191907645e+00
1.000000000000000056e-01,2.367621675934526437e-01,-1.794067122392162927e+00
