Parameter,Value,Error
R_0,0.007344364350455992,
B_1_0,0.017204754851647717,
B_1_1,1e+32,
B_1_2,60.0401537274891,
B_1_3,0.9873865841699476,
B_1_4,0.7738970129107972,
