# freq,Re(Z),Im(Z)
9.999994000000000369e+02,7.505507769136073211e-03,-1.579818833370561881e-04
7.943277000000000498e+02,7.524907875616509804e-03,-1.770013715905820433e-04
6.309569000000000187e+02,7.546643562787893125e-03,-1.983106178699937114e-04
5.011868999999999801e+02,7.570996007781224425e-03,-2.221852827829087578e-04
3.981068999999999960e+02,7.598280256328518965e-03,-2.489342310567161038e-04
3.162275000000000205e+02,7.628849283925110900e-03,-2.789035130233586540e-04
2.511884000000000015e+02,7.663098522310612427e-03,-3.124808022935044892e-04
1.995261000000000138e+02,7.701470961391529944e-03,-3.501003975825615444e-04
1.584892000000000110e+02,7.744463141746940615e-03,-3.922490976470596595e-04
1.258923999999999950e+02,7.792631225608118509e-03,-4.394721531552321452e-04
9.999990999999999985e+01,7.846598141598140966e-03,-4.923802712553368216e-04
7.943274999999999864e+01,7.907062211147803527e-03,-5.516580726550629650e-04
6.309566999999999837e+01,7.974805588685501129e-03,-6.180723674607557262e-04
5.011867000000000161e+01,8.050704602963455747e-03,-6.924822886094981859e-04
3.981067999999999785e+01,8.135741062945442414e-03,-7.758502868383285005e-04
3.162274000000000029e+01,8.231014639232314689e-03,-8.692552491849868650e-04
2.511883999999999872e+01,8.337759109549034917e-03,-9.739083038851718008e-04
1.995260000000000034e+01,8.457369876349315335e-03,-1.091156535085155465e-03
1.584891000000000005e+01,8.591376396491485004e-03,-1.222459798981560992e-03
1.258924000000000021e+01,8.741322140102380372e-03,-1.369516278535468654e-03
9.999988000000000099e+00,8.908929303948768391e-03,-1.534703770280840523e-03
7.943272000000000332e+00,9.097072705929104552e-03,-1.721204190799059328e-03
6.309565000000000090e+00,9.310892233997839634e-03,-1.931581269996685522e-03
5.011866000000000376e+00,9.556918753535877109e-03,-2.164894168764005481e-03
3.981066000000000216e+00,9.838814552420501250e-03,-2.414891142960002950e-03
3.162272999999999890e+00,1.015137707805222576e-02,-2.672643304514723053e-03
2.511883000000000088e+00,1.047745272354502592e-02,-2.934467689392824576e-03
1.995258999999999894e+00,1.079189356624327828e-02,-3.211071228408303359e-03
1.584891000000000050e+00,1.107116739283058732e-02,-3.531305969545246379e-03
1.258923999999999932e+00,1.130180105483720096e-02,-3.938208224578497625e-03
9.999980000000000535e-01,1.148237577794097158e-02,-4.481848593986001959e-03
7.943270000000000053e-01,1.162001329866565319e-02,-5.214884522110043927e-03
6.309559999999999613e-01,1.172548517778917651e-02,-6.192834162591657511e-03
5.011860000000000204e-01,1.180972770188595117e-02,-7.477604450744540325e-03
3.981060000000000154e-01,1.188227964120904499e-02,-9.142492067554885624e-03
3.162269999999999803e-01,1.195101511962259541e-02,-1.127763515497042651e-02
2.511880000000000224e-01,1.202249157248728301e-02,-1.399592218956520126e-02
1.995260000000000089e-01,1.210248437316000306e-02,-1.743952602452483736e-02
1.584889999999999910e-01,1.219653153172553864e-02,-2.178785380027153246e-02
1.258920000000000039e-01,1.231042493038612615e-02,-2.726695502457634687e-02
1.000000000000000056e-01,1.245066272985567365e-02,-3.416118810477691142e-02
7.943300000000000360e-02,1.262490985470017882e-02,-4.282875146458509086e-02
6.309599999999999931e-02,1.284245471181582818e-02,-5.371959762154153439e-02
5.011899999999999689e-02,1.311474697721679364e-02,-6.739915396093217048e-02
3.981099999999999917e-02,1.345602024177356901e-02,-8.457752009416930061e-02
3.162299999999999833e-02,1.388405764516863553e-02,-1.061466559198715326e-01
2.511899999999999897e-02,1.442112214836064818e-02,-1.332263880307555659e-01
1.995299999999999851e-02,1.509506805889540906e-02,-1.672198923168200513e-01
1.584899999999999851e-02,1.594104079881865366e-02,-2.098990701028091432e-01
1.499999999999999944e-02,1.617341674647846186e-02,-2.216233568141841304e-01
