Parameter,Value,Error
R_0,0.0073792316545829946,
B_1_0,0.019283439105802474,
B_1_1,1e+32,
B_1_2,59.89655692074548,
B_1_3,0.9877228723085479,
B_1_4,0.6732150160511899,
