Parameter,Value
R_s,0.055232221721536336
Wo_Zo,0.24833185341552816
Wo_T,0.29651182999208736
CPE_H,0.000346183646379586
alpha_H,1.0176229657862421
R_int,0.0367883397644728
CPE_ads,15.317684801503626
alpha_ads,0.3839857151461235
