Frequency,Real_Error,Imag_Error
50118.72,0.015918696979504474,0.00316054995848502
39810.71,0.014845665524931169,0.0007256980571603202
31622.77,0.013258290379395757,0.004233229162468268
25118.86,0.011172375521689745,0.007278820306364871
19952.62,0.00840950221447434,0.0100288474315041
15848.93,0.004809115620322185,0.011963492989682876
12589.25,0.0009070510908772145,0.012645963241047721
9999.997,0.0028334180536644937,0.01215785672771151
7943.28,0.005999608013482205,0.010747597857866893
6309.571,0.008354572528958507,0.008760524955548393
5011.871,0.009942515299191365,0.0065618744742792605
3981.07,0.01079751090386269,0.004323890286384427
3162.276,0.010962732025131261,0.0022160456515735866
2511.885,0.010845897594975007,0.00045621952487450226
1995.261,0.010432059873341601,0.0010934123492273833
1584.892,0.009742086172902523,0.002401518387868142
1258.925,0.00890310398122679,0.0034477942572693192
999.9994,0.008008591387135222,0.004378685899107315
794.3277,0.006841320756236655,0.005062209621798474
630.9569,0.0058236576092313,0.005609997292160449
501.1869,0.004591440986237663,0.006144775140474431
398.1069,0.003477271237589827,0.006481521832485973
316.2275,0.0021168211007007443,0.006655830041803697
251.1884,0.0008035427752347696,0.006775134955093392
199.5261,0.0004521711792801475,0.006724475636662078
158.4892,0.0017781831716684737,0.006612645137537558
125.8924,0.0029660136863733783,0.006222544341415103
99.99991,0.004224136187147565,0.005878127387397587
79.43275,0.005401483441705296,0.005261302002574252
63.09567,0.006493978284550561,0.004411625179594956
50.11867,0.0074635143345771066,0.0035880113619599398
39.81068,0.008209233621070483,0.0025947320076045513
31.62274,0.008824134993281066,0.0012252586157866542
25.11884,0.008879770524888364,0.0001300330038362628
19.9526,0.009359555806576575,0.0016966756430940658
15.84891,0.009156341083251807,0.0033934142855814795
12.58924,0.007908599241190056,0.005521015237598556
9.999988,0.007432094176180404,0.006738873215513863
7.943272,0.005576660467231875,0.008097943428443437
6.309565,0.0026392323529536854,0.009778642300822968
5.011866,0.0012654674517371955,0.00945819671868324
3.981066,0.002979453905897461,0.008383764779448591
3.162273,0.0070104816269994374,0.006409321532045334
2.511883,0.008278511401632133,0.004891095517140356
1.995259,0.008922888953435792,0.0015975145810542546
1.584891,0.008840620465191962,0.0015436501721839135
1.258924,0.0077840691335823164,0.004135214352202793
0.999998,0.005971039540702966,0.006272640876012564
0.794327,0.003849358260356206,0.007816577721344115
0.630956,0.001323528422749659,0.008572444236756238
0.501186,0.0011259664233317923,0.008870437341006343
0.398106,0.003402658928457536,0.008461362512215964
0.316227,0.005323792675040684,0.00741434362093274
0.251188,0.006301423448783511,0.005423220609048984
0.199526,0.006285021266880825,0.0030289533446340444
0.158489,0.004196416276717602,0.00030408820395488867
0.125892,0.001150096876496004,0.004382287075896274
0.1,0.014715991715542692,0.009680792201142818
