Frequency,Z_real,Z_imag,Z_linKK_real,Z_linKK_imag,res_real,res_imag,chi_squared,mu,M
50118.72,0.0531344,-0.001823184,0.05311816182048658,-0.0018627741535151324,0.0003054260300467005,0.0007446563456866084,0.00014682782403034803,0.4787096028705049,26
39810.71,0.05491123,-0.006091058,0.0549379818725253,-0.006040174229240475,-0.00048421410462991943,-0.0009210061641560002,0.00014682782403034803,0.4787096028705049,26
31622.77,0.05725608,-0.0100059,0.05722057999818674,-0.009945508696378764,0.0006107652739982482,-0.0010390115273053169,0.00014682782403034803,0.4787096028705049,26
25118.86,0.06015779,-0.01348704,0.06015469991431643,-0.013571767927086285,5.0122138064212324e-05,0.0013743129784023747,0.00014682782403034803,0.4787096028705049,26
19952.62,0.06380063,-0.01670316,0.0638789492893668,-0.016723185060226926,-0.0011875400760200997,0.0003036360740304249,0.00014682782403034803,0.4787096028705049,26
15848.93,0.06835236,-0.01913594,0.06834175313003242,-0.019077801208527083,0.00014943360696487626,-0.000819081344537187,0.00014682782403034803,0.4787096028705049,26
12589.25,0.07328567,-0.02034849,0.07324495426380587,-0.020352323074689687,0.0005353233942182456,5.039659711399119e-05,0.00014682782403034803,0.4787096028705049,26
9999.997,0.07814667,-0.02041966,0.0781257758777885,-0.020469051439500563,0.00025868524797719095,0.0006115038787378432,0.00014682782403034803,0.4787096028705049,26
7943.28,0.08253162,-0.01959137,0.08253855963060962,-0.01962034239107124,-8.181109402782678e-05,0.00034155463647521307,0.00014682782403034803,0.4787096028705049,26
6309.571,0.08620961,-0.01819831,0.08623024853858884,-0.018182336164021748,-0.0002342375122187166,-0.00018129537534990208,0.00014682782403034803,0.4787096028705049,26
5011.871,0.08922486,-0.01659252,0.08918983879772102,-0.016532158148735272,0.0003858892404887868,-0.0006651110591089668,0.00014682782403034803,0.4787096028705049,26
3981.07,0.09160366,-0.01493477,0.09154687043337893,-0.014912776194337788,0.0006118699374771463,-0.00023696867745472385,0.00014682782403034803,0.4787096028705049,26
3162.276,0.09337558,-0.01339009,0.09343724702322762,-0.013438796860936911,-0.0006537318174803506,0.0005163411991936477,0.00014682782403034803,0.4787096028705049,26
2511.885,0.09493472,-0.01218153,0.09496228680920195,-0.012177271336614455,-0.00028801511390230027,-4.449406571045799e-05,0.00014682782403034803,0.4787096028705049,26
1995.261,0.09625842,-0.01118362,0.0962241726817654,-0.01118049022502495,0.0003534079160953972,-3.2297047149895024e-05,0.00014682782403034803,0.4787096028705049,26
1584.892,0.09736791,-0.01044181,0.09733479387955479,-0.01045826837662061,0.0003381742508884217,0.00016806917929058197,0.00014682782403034803,0.4787096028705049,26
1258.925,0.09839691,-0.009987799,0.09837412025259688,-0.009974092463116273,0.0002304263623510509,-0.0001385863291365515,0.00014682782403034803,0.4787096028705049,26
999.9994,0.09944839,-0.009682154,0.09937263550592447,-0.009693623647786042,0.0007581620940437542,0.00011478991826861112,0.00014682782403034803,0.4787096028705049,26
794.3277,0.1003148,-0.009660001,0.10035271647811897,-0.00961496179737647,-0.0003762345139379568,-0.0004469112994631487,0.00014682782403034803,0.4787096028705049,26
630.9569,0.101427,-0.009810326,0.10136170015682627,-0.009735808666405266,0.0006408206748063208,-0.0007312766107554018,0.00014682782403034803,0.4787096028705049,26
501.1869,0.1024277,-0.01000977,0.10244022240869126,-0.010019735830698345,-0.00012167643842994655,9.683494727469354e-05,0.00014682782403034803,0.4787096028705049,26
398.1069,0.1036548,-0.01044241,0.10358125602977468,-0.010429875979344382,0.0007059353618427384,-0.0001203118131881978,0.00014682782403034803,0.4787096028705049,26
316.2275,0.1047479,-0.01107203,0.10476107036120078,-0.01098298375288011,-0.00012503732135045787,-0.000845390953706759,0.00014682782403034803,0.4787096028705049,26
251.1884,0.1060032,-0.01179134,0.10600638463182495,-0.01172836767757467,-2.985863131788297e-05,-0.0005904190694202245,0.00014682782403034803,0.4787096028705049,26
199.5261,0.1074328,-0.01271659,0.10738782077799057,-0.01267116929260883,0.00041577054840445795,-0.0004198514686845311,0.00014682782403034803,0.4787096028705049,26
158.4892,0.1089096,-0.01374181,0.10893714620459677,-0.013761845862463415,-0.00025093760744161986,0.00018252065804330765,0.00014682782403034803,0.4787096028705049,26
125.8924,0.1106419,-0.0150889,0.11061707762779492,-0.014981254249940087,0.00022229114382167454,-0.0009639971840992358,0.00014682782403034803,0.4787096028705049,26
99.99991,0.1124201,-0.01644125,0.1124030633985541,-0.016392279784013423,0.00014994897444175635,-0.0004310151698213074,0.00014682782403034803,0.4787096028705049,26
79.43275,0.1143932,-0.01812757,0.11435516839066677,-0.01806777370781035,0.00032836651720390494,-0.0005162837059031703,0.00014682782403034803,0.4787096028705049,26
63.09567,0.1165622,-0.0201231,0.11656012041058289,-0.02000188590082561,1.7580959741274115e-05,-0.0010247504532009154,0.00014682782403034803,0.4787096028705049,26
50.11867,0.1189611,-0.02218907,0.11902899856555471,-0.022151251228873094,-0.0005610858081219339,-0.0003125187636375184,0.00014682782403034803,0.4787096028705049,26
39.81068,0.1216856,-0.02454817,0.12171893899216647,-0.024548072142848137,-0.0002685660905454576,-7.882995555743883e-07,0.00014682782403034803,0.4787096028705049,26
31.62274,0.1246365,-0.02744256,0.12465269442398359,-0.027300002512667995,-0.00012689376237886188,-0.001117029907402674,0.00014682782403034803,0.4787096028705049,26
25.11884,0.128235,-0.03052847,0.1279395951724486,-0.030468283796489963,0.002240991200319859,-0.0004565827632697946,0.00014682782403034803,0.4787096028705049,26
