# freq,Re(Z),Im(Z)
1.995261000000000138e+02,1.995075223829888018e-03,-5.249483854258113187e-05
1.584892000000000110e+02,2.001514034615124379e-03,-5.883052045594796246e-05
1.258924999999999983e+02,2.008729938074446577e-03,-6.593084853337583407e-05
9.999993999999999517e+01,2.016816763771685488e-03,-7.388814949066213969e-05
7.943277000000000498e+01,2.025879593256707176e-03,-8.280582180853268757e-05
6.309568999999999761e+01,2.036036227374721664e-03,-9.279977953175685696e-05
5.011869000000000085e+01,2.047418677015836689e-03,-1.039999192265001800e-04
3.981069000000000102e+01,2.060174894670115022e-03,-1.165518240664480305e-04
3.162274999999999991e+01,2.074470693969732941e-03,-1.306186366940440197e-04
2.511884999999999835e+01,2.090491765370783989e-03,-1.463831527903982916e-04
1.995260999999999996e+01,2.108446482450994450e-03,-1.640507960889610046e-04
1.584891999999999967e+01,2.128570358097897457e-03,-1.838507504363272251e-04
1.258924000000000021e+01,2.151124439705031418e-03,-2.060318716433828985e-04
9.999990999999999630e+00,2.176374441245179734e-03,-2.308764827700701531e-04
7.943274999999999864e+00,2.204602957687561149e-03,-2.587718381117643223e-04
6.309567999999999621e+00,2.236257585025527329e-03,-2.902570957027390645e-04
5.011867999999999768e+00,2.272165609653822686e-03,-3.258268164524817201e-04
3.981068000000000051e+00,2.313462696708728540e-03,-3.654433177720149912e-04
3.162275000000000169e+00,2.360934398468738336e-03,-4.081461479484781944e-04
2.511883999999999784e+00,2.413965430582528521e-03,-4.523661444965351784e-04
1.995260000000000034e+00,2.469860387794393757e-03,-4.971994964926279700e-04
1.584891999999999967e+00,2.524341295559026296e-03,-5.440545362881935194e-04
1.258923999999999932e+00,2.573154579714121131e-03,-5.975006196998535477e-04
9.999989999999999712e-01,2.613655868976560732e-03,-6.647315079382563451e-04
7.943270000000000053e-01,2.645327137436666916e-03,-7.543151973223012705e-04
6.309569999999999901e-01,2.669245668908167782e-03,-8.753098170601203041e-04
5.011870000000000491e-01,2.687218479733682365e-03,-1.037209322315667303e-03
3.981069999999999887e-01,2.701127305200768953e-03,-1.250506503271852114e-03
3.162269999999999803e-01,2.712616901280513054e-03,-1.527547510919995090e-03
2.511880000000000224e-01,2.723026354041574188e-03,-1.883465231490221055e-03
1.995260000000000089e-01,2.733440111193750129e-03,-2.337197669056552841e-03
1.584889999999999910e-01,2.744776779531964573e-03,-2.912619832431657865e-03
1.258920000000000039e-01,2.757879411973099704e-03,-3.639852733857147204e-03
1.000000000000000056e-01,2.773596476484772345e-03,-4.556852422184815010e-03
7.943300000000000360e-02,2.792855943839675156e-03,-5.711506811168958267e-03
6.309599999999999931e-02,2.816731930487818142e-03,-7.164050837594155424e-03
5.011899999999999689e-02,2.846515054834940391e-03,-8.990260552091173044e-03
3.981099999999999917e-02,2.883788435457257035e-03,-1.128538694731748282e-02
3.162299999999999833e-02,2.930517038031038059e-03,-1.416916870457244661e-02
2.511899999999999897e-02,2.989153739576620034e-03,-1.779203852671018202e-02
1.995299999999999851e-02,3.062764721189550725e-03,-2.234261494487551486e-02
1.584899999999999851e-02,3.155219349602607186e-03,-2.805921896595862594e-02
1.258899999999999950e-02,3.271356367520537010e-03,-3.523991602569048753e-02
1.000000000000000021e-02,3.417225411388705517e-03,-4.425715437864428253e-02
