Parameter,Value
R_s,0.0552666851552882
Wo_Zo,0.250981597906838
Wo_T,0.24023474904555364
CPE_H,0.0003449965377233349
alpha_H,0.9999955642909651
R_int,0.04603446718367983
CPE_ads,21.768600158538735
alpha_ads,0.48989571714006236
