Parameter,Value
R_s,0.08833297251136889
Wo_Zo,0.18284561467212523
Wo_T,0.18358443658528584
CPE_H,0.0003041289955167512
alpha_H,1.1304020955973049
R_int,0.021506753510504618
CPE_ads,9.206305426545494
alpha_ads,0.43206755596528185
