Frequency,Real_Error,Imag_Error
999.9994,0.0013302364644907283,5.674239787621491e-06
794.3277,0.001317467761023948,5.237186115152277e-05
630.9569,0.0012923178980748283,9.311881734279934e-05
501.1869,0.001255266909594148,0.00012999723070991983
398.1069,0.00122910942597963,0.0001803951994244163
316.2275,0.0012043154759164426,0.0002109179745675055
251.1884,0.0011505383815834146,0.00025154707019730123
199.5261,0.001131589768795618,0.0002771771948512558
158.4892,0.0010768317526559604,0.00032131539462297614
125.8924,0.0010341371464691208,0.0003695371692676022
99.99991,0.0009889098826825326,0.00041764197946273787
79.43275,0.0009401127252089778,0.0004538714109914229
63.09567,0.0008925109587150926,0.0005020267026074237
50.11867,0.0008103154495137672,0.0005440535491043164
39.81068,0.0007192659099673881,0.0005868598461567354
31.62274,0.0006116514967064324,0.0006296245956868353
25.11884,0.0005116885119713262,0.0007065502327607029
19.9526,0.0004372788417484619,0.0007166629227485116
15.84891,0.00030235631846755977,0.000747131224505747
12.58924,0.0001538048124275406,0.0008533395718630257
9.999988,7.67639610621193e-05,0.0008327317691989736
7.943272,0.00012779005780245295,0.0008469364595293659
6.309565,0.00024883367363725227,0.0008653253159887722
5.011866,0.0004388055513952875,0.0008484366077522612
3.981066,0.0005566423356690026,0.0007820516269898962
3.162273,0.0007387798466614737,0.0007561226037875153
2.511883,0.0008248808391274655,0.0007449698893532003
1.995259,0.0009171567514137027,0.0006985566343077868
1.584891,0.0010230270108489582,0.0006115166674545607
1.258924,0.001108373308437438,0.0005499523781937249
0.999998,0.0012295554290045162,0.0005330508087254878
0.794327,0.0013132071889405128,0.0004574401849976326
0.630956,0.0014399245292272943,0.0003898872346347398
0.501186,0.0015115593503285032,0.000259050736105269
0.398106,0.001554704175892022,0.00010107741059391974
0.316227,0.0016125087485826806,3.67802652468472e-05
0.251188,0.0016096481597053323,0.00022544483179255323
0.199526,0.0015123363564511962,0.00035914969923509996
0.158489,0.0013922908442527467,0.0005733230384743285
0.125892,0.0011918924390991632,0.0007263210056273339
0.1,0.0009857169495116353,0.0008325652870618122
0.079433,0.000746261236520062,0.000882496383196596
0.063096,0.0004991518999435274,0.0008362802421973542
0.050119,0.00018088454483262267,0.0008364694228642916
0.039811,0.00014068173057168315,0.0006364505111005891
0.031623,0.000430894166414765,0.0004923879648117968
0.025119,0.0007308967340272487,0.0002154534679397746
0.019953,0.0009530192715591738,0.00017783113447994436
0.015849,0.0010543338666568567,0.0006240198737169078
0.015,0.0009872613805467795,0.0007241210223334349
